Band;Original genre;State;Code
Anaal Nathrakh;Black_metal;United Kingdom;GBR
Ancient;Black_metal;Norway;NOR
Ancient Rites;Black_metal;Belgium;BEL
...And Oceans;Black_metal;Finland;FIN
Angelcorpse;Black_metal;United States;USA
Angizia;Black_metal;Austria;AUT
Anorexia Nervosa;Black_metal;France;FRA
Antaeus;Black_metal;France;FRA
Antestor;Black_metal;Norway;NOR
Apostasy;Black_metal;Sweden;SWE
Archgoat;Black_metal;Finland;FIN
Arckanum;Black_metal;Sweden;SWE
Arcturus;Black_metal;Norway;NOR
Arkhon Infaustus;Black_metal;France;FRA
Armagedda;Black_metal;Sweden;SWE
Armageddon Holocaust;Black_metal;Indonesia;IDN
Arthemesia;Black_metal;Finland;FIN
Arvas;Black_metal;Norway;NOR
Asgaroth;Black_metal;Spain;ESP
Astarte;Black_metal;Greece;GRC
Aura Noir;Black_metal;Norway;NOR
Aurora Borealis;Black_metal;United States;USA
Averse Sefira;Black_metal;United States;USA
Axis of Advance;Black_metal;Canada;CAN
The Axis of Perdition;Black_metal;United Kingdom;GBR
Azaghal;Black_metal;Finland;FIN
Bahimiron;Black_metal;United States;USA
Bal-Sagoth;Black_metal;United Kingdom;GBR
Baptism;Black_metal;Finland;FIN
Barathrum;Black_metal;Finland;FIN
Bathory;Black_metal;Sweden;SWE
Behemoth;Black_metal;Poland;POL
Beherit;Black_metal;Finland;FIN
Behexen;Black_metal;Finland;FIN
Belphegor;Black_metal;Austria;AUT
Bestial Mockery;Black_metal;Sweden;SWE
Bethlehem;Black_metal;Germany;DEU
Black Flame;Black_metal;Italy;ITA
Black Funeral;Black_metal;United States;USA
Black Messiah;Black_metal;Germany;DEU
Black Murder;Black_metal;France;FRA
Black Witchery;Black_metal;United States;USA
Blasphemy;Black_metal;Canada;CAN
Blood Tsunami;Black_metal;Norway;NOR
Blut Aus Nord;Black_metal;France;FRA
Borknagar;Black_metal;Norway;NOR
Botanist;Black_metal;United States;USA
Bulldozer;Black_metal;Italy;ITA
Burzum;Black_metal;Norway;NOR
Carach Angren;Black_metal;Netherlands;NLD
Carpe Tenebrum;Black_metal;Norway;NOR
Catamenia;Black_metal;Finland;FIN
Celtic Frost;Black_metal;Switzerland;CHE
Ceremonial Castings;Black_metal;United States;USA
Chakal;Black_metal;Brazil;BRA
Chthonic;Black_metal;Taiwan;TWN
Cirith Gorgor;Black_metal;Netherlands;NLD
Clandestine Blaze;Black_metal;Finland;FIN
Cobalt;Black_metal;United States;USA
Code;Black_metal;United Kingdom;GBR
Cor Scorpii;Black_metal;Norway;NOR
Countess;Black_metal;Netherlands;NLD
Cradle of Filth;Black_metal;United Kingdom;GBR
Craft;Black_metal;Sweden;SWE
Crionics;Black_metal;Poland;POL
Cruachan;Black_metal;Ireland;IRL
Cultus Sanguine;Black_metal;United States;USA
Dance Club Massacre;Black_metal;United States;USA
Dark Fortress;Black_metal;Germany;DEU
Dark Funeral;Black_metal;Sweden;SWE
Darkspace;Black_metal;Switzerland;CHE
Darkthrone;Black_metal;Norway;NOR
Darkwoods My Betrothed;Black_metal;Finland;FIN
Dawn;Black_metal;Sweden;SWE
Dawn of Azazel;Black_metal;New Zealand;NZL
Darzamat;Black_metal;Poland;POL
Deafheaven;Black_metal;United States;USA
Deathspell Omega;Black_metal;France;FRA
Death SS;Black_metal;Italy;ITA
December Wolves;Black_metal;United States;USA
Deinonychus;Black_metal;Netherlands;NLD
Demoncy;Black_metal;United States;USA
Demoniac;Black_metal;New Zealand;NZL
Den Saakaldte;Black_metal;Norway;NOR
Desaster;Black_metal;Germany;DEU
Destroy Destroy Destroy;Black_metal;United States;USA
Deströyer 666;Black_metal;Australia;AUS
Destruction;Black_metal;Germany;DEU
Devian;Black_metal;Sweden;SWE
Devilish Impressions;Black_metal;Poland;POL
Diaboli;Black_metal;Finland;FIN
Diabolical Masquerade;Black_metal;Sweden;SWE
Diocletian;Black_metal;New Zealand;NZL
Dimmu Borgir;Black_metal;Norway;NOR
Dissection;Black_metal;Sweden;SWE
Dødheimsgard;Black_metal;Norway;NOR
Dornenreich;Black_metal;Austria;AUT
Dragonlord;Black_metal;United States;USA
Drastique;Black_metal;Poland;POL
Drottnar;Black_metal;Norway;NOR
Drudkh;Black_metal;Ukraine;UKR
Einherjer;Black_metal;Norway;NOR
Eisregen;Black_metal;Germany;DEU
Embraced;Black_metal;Sweden;SWE
Emperor;Black_metal;Norway;NOR
Endstille;Black_metal;Germany;DEU
Enslaved;Black_metal;Norway;NOR
Enthroned;Black_metal;Belgium;BEL
Ephel Duath;Black_metal;Italy;ITA
Epoch of Unlight;Black_metal;United States;USA
Equilibrium;Black_metal;Germany;DEU
Estatic Fear;Black_metal;Austria;AUT
Falkenbach;Black_metal;Germany;DEU
Faustcoven;Black_metal;Norway;NOR
Finntroll;Black_metal;Finland;FIN
Fleurety;Black_metal;Norway;NOR
Forefather;Black_metal;United Kingdom;GBR
Forest Stream;Black_metal;Russia;RUS
Forgotten Tomb;Black_metal;Italy;ITA
Frost Like Ashes;Black_metal;United States;USA
Frosthardr;Black_metal;Norway;NOR
Funeral Mist;Black_metal;Sweden;SWE
The Funeral Pyre;Black_metal;United States;USA
