,Band,Original genre,Origin,Genres,Years active,Labels,Members,Past members
427,Antestor,Black_metal,"Jessheim, Norway","['Unblack metal, death metal, doom metal (early)']","['1990–2007, 2010–present']",['CacophonousEndtimeBombworksRowe'],"['Ronny Hansen', 'Lars Stokstad', 'Erik Normann Aanonsen', 'Henning Børven', '']","['Robert Bordevick', 'Morten Sigmund Mageroy', 'Nicholas Main Henriksen', 'Thor Georg Buer', 'Vegard Undal', 'Tony Kirkemo', 'Kjetil Molnes', 'Svein Sander', 'Erling Jorgensen', 'Stig Rolfsen', 'Paul W', 'Ole Børud', '']"
428,Apostasy,Black_metal,"Kramfors, Sweden",['Symphonic black metal'],['2000–present'],['Black Mark Production'],"['Fredric Edin', 'Matthias Edin', 'Mikael Björklund', 'Pontus Lundgren', 'Leif Högberg', 'Thomas Ohlsson']",
429,Arallu,Black_metal,Ma'ale Adumim,"['Black metal, thrash metal, oriental metal, death metal, war metal']",['1999–present'],"['Raven Music, Legion of Death, The End, Epidemic']","['Moti ""Butchered"" Daniel', 'Gal ""Pixel"" Cohen', 'Assaf Kassimov', 'Omri Yagen', 'Eylon Bart']","['Avi Caspi', 'Yossi Darmon', 'Alex Schuster', 'Ben Fisher', 'Sergei ""Metalheart"" Nemichenitser', 'Yonathan Dushnitzki', 'Yaniv Zada']"
430,Archgoat,Black_metal,"Turku, Finland","['Black metal, death metal, war metal']",['1989–19932004–present'],"['Necropolis, Hammer of Hate, Blasphemous Underground, Debemur Morti Productions']","['Lord Angelslayer', 'Ritual Butcherer', 'Diabolus Sylvarum']",
431,Arckanum,Black_metal,"Dalarna, Sweden",['Black metal'],['1993–2018'],,"['Johan ""Shamaatae"" Lahger']","['Sataros', 'Loke Svarteld']"
432,Arcturus,Black_metal,Norway,"['Avant-garde metal, black metal']","['1991–2007, 2011–present']","['Century Media, Music for Nations, Candlelight, The End, Jester, Season of Mist']","['Steinar Sverd Johnsen', 'Jan Axel Blomberg', 'Hugh Mingay', 'Knut Magne Valle', 'ICS Vortex']",['(see below)']
433,Arkhon Infaustus,Black_metal,"Paris, France",['Blackened death metal'],['1997–present'],['MordgrimmOsmose Productions'],['Dk Deviant / Kwel / EsX'],"['Hellblaster', 'Toxik H.', 'Azk.6']"
434,Armagedda,Black_metal,"Norrland, Sweden",['Black metal'],['1999–2004'],['Agonia Records'],"['Graav, A.']","['E. Danielsson, Necromorbus, Hor, Patrik Högberg, Roger Markström, Winterheart.']"
435,Armageddon Holocaust,Black_metal,"Jakarta, Indonesia","['Unblack metal, extreme metal']","['1999\xa0(1999)-2000\xa0(2000), 2002\xa0(2002)–2004\xa0(2004)']","['THT Productions, Bombworks Records']",,"['Doctor Dark', 'Meister J.', 'Necro W.', 'Dark Thriller']"
436,Arthemesia,Black_metal,Finland,['Black metal'],['1994–2010'],,,
437,Arvas,Black_metal,"Bergen, Norway",['Black metal'],['Since 1993'],"['Azermedoth (since 1999) ATMF Records (since 2013)', 'Mighty Music Target Music Group (2017,- 2018) Satanic Art Media (2018)']",['V-RexJarl Ivar BrynhildsvoldKristoffer LundenKim Åsheim'],['GrimAresAindiachaí']
438,Asgaroth,Black_metal,Spain,['Black metal'],['1995–2007'],['Peaceville'],"['Mythral', 'Mr. Ax', 'Lord Lupus', 'Joona Etelämäki']","['J. Muriana', 'Katu-Marus', 'Julkarn', 'J. Arckanus', 'T. Zarach', 'Oisin Martinez']"
439,Ásmegin,Black_metal,,,,,,
440,Asmodeus,Black_metal,,,,,,
441,Astarte,Black_metal,"Athens, Greece",['Black metalBlackened death metal'],['1995–2014'],['Black LotusAvantgarde Music'],"['Derketa', 'Hybris', 'Ice', 'Lycon']",['(see below)']
442,Astrofaes,Black_metal,,,,,,
443,Aura Noir,Black_metal,"Kolbotn, Norway","['Black metal, thrash metal']",['1993–present'],"['Tyrant Syndicate Productions, Indie Recordings']","['Apollyon', 'Aggressor', 'Blasphemer']",
444,Aurora Borealis,Black_metal,"Waldorf, Maryland, United States",['Blackened death metal'],['1994–present'],"['Xtreem Music, Nightsky Productions']","['Ron Vento', 'Mark Green', 'Jason Ian-Vaughn Eckert']","['Tony Laureano', 'Tim Yeung', 'Derek Roddy']"
445,Averse Sefira,Black_metal,"Austin, Texas",['Black metal'],['1996–2012'],['Candlelight Records'],"['Wrath Sathariel Diabolus', 'Sanguine Mapsama', 'The Carcass']","['""Nuclear"" Gregg Garbach']"
446,Axis of Advance,Black_metal,"Edmonton, Alberta, Canada","['Black metal, death metal, war metal']",['1998\xa0(1998)–2008\xa0(2008)'],['Osmose Productions'],"['Wör', 'Vermin', 'J. Read']",
447,The Axis of Perdition,Black_metal,United Kingdom,"['Black metal, industrial, industrial metal, Dark Ambient']","['2002–2013, 2019-present']",['Code666Rage of Achilles'],"['Mike Blenkarn', 'Ian Fenwick', 'Dan Mullins', 'Les Simpson', 'Brooke Johnson']",
448,Azaghal,Black_metal,"Hyvinkää, Finland",['Black metal'],['1995-present'],['Moribund Cult Records'],"['Narqath', 'Ruho', 'Lima', 'Niflungr']","['Varjoherra', 'T.M. Blastbeast']"
449,Bahimiron,Black_metal,United States,['Black metalwar metal'],['2001\xa0(2001)–2014'],['Moribund'],,"['Grimlord', 'Jenoside', 'Blaash', 'Krag', 'Moon', '']"
450,Bal-Sagoth,Black_metal,"Sheffield, South Yorkshire, England",['Symphonic black metal'],['1989–present'],"['Cacophonous, Nuclear Blast']","['Byron Roberts', 'Jonny Maudling', 'Chris Maudling', 'Paul Jackson', 'Alistair MacLatchy']","['Jason Porter', 'Vincent Crabtree', 'Leon Forrest', 'Dave Mackintosh', 'Dan Mullins', 'Mark Greenwell']"
451,Baptism,Black_metal,"Tampere, Finland",['Black metal'],['1998–present'],['Season of Mist'],['Lord Sargofagian'],"['Slaughterer', 'Demonium', 'Kobalt']"
452,Barathrum,Black_metal,"Kuopio, Finland",['Black-doom'],['1990–present'],"[""Spinefarm Records, Saturnal Records, Nazgul's Eyrie Productions""]","['Demonos Sova', 'Anathemalignant', 'Pelcepoop', 'Nuklear Tormentörr', 'Ruttokieli', 'Pete Vendetta']","['Aki Hytönen', 'Ilu', 'Jetblack Roima', 'Niko', 'Neva', 'Bloodbeast', 'Necronom Dethstrike', 'Infernus', 'Reaper Sklethnor', 'Destrukkktorr', 'Crowl', 'Pimeä', 'Sulphur', 'Nattasett', 'Warlord', 'Somnium', 'Beast Dominator', 'Trollhorn', 'Anathemalignant']"
453,Bathory,Black_metal,"Vällingby, Sweden","['Black metal', 'thrash metal', 'Viking metal']",['1983–2004'],"['Black Mark, Noise']",,"['Quorthon', 'Frederick Melander (Freddan/Hanoi)', 'Jonas Åkerlund', 'Ribban', 'Stefan Larsson', 'Adde', 'Paul Pålle Lundburg', 'Kothaar', 'Vvornth', '']"
454,Behemoth,Black_metal,"Gdańsk, Poland",['Blackened death metaldeath metalblack metal (early)'],['1991–present'],"['Metal Blade', 'Nuclear Blast', 'Wild Rags', 'Pagan', 'Avantgarde', 'Regain', 'Century Media', 'Mystic Production']","['Nergal', 'Inferno', 'Orion', 'Seth', '']",['See section']
455,Beherit,Black_metal,"Rovaniemi, Lapland, Finland","['Black metal, dark ambient, war metal (early)']",['1989–19962008–present'],['Spinefarm Records'],"['Nuclear Holocausto', 'Sodomatic Slaughter', 'Ancient Corpse Desekrator', 'Abyss']","['Black Jesus', ' Necroperversor', 'Kimmo Luttinen']"
456,Behexen,Black_metal,"Hämeenlinna / Tampere, Finland",['Black metal'],['1994–present'],"['Woodcut Records, Dynamic Arts Records, Grievantee Productions, Sinister Figure Records, Hammer of Hate']","['Horns ', ' Hoath Torog ', ' Wraath']","['Reaper ', ' Lunatic ', ' Veilroth ', ' Gargantum  ', ' Lord Sargofagian ', ' ']"
457,Belphegor,Black_metal,"Salzburg, Austria",['Blackened death metal'],['1991–present'],"['Napalm, Nuclear Blast']","['Helmuth', 'Serpenth']","['Sigurd Hagenauer', 'Maxx', 'Chris', 'Marius ""Reverend Mausna"" Klausner', 'Bartholomäus ""Barth"" Resch', 'Florian ""Torturer"" Klein', 'Nefastus', 'BloodHammer']"
458,Bestial Mockery,Black_metal,"Uddevalla, Sweden",['Black metal'],"['1995–2008, 2011-present']","[""AgoniaDeathstrikeHell's HeadbangersImpaler of TrendiesMetal Blood MusicOsmoseSeason of MistSombreTerranisTime Before TimeTuranian HonourWarlordWitchhammerWitching Metal Reckords""]","[')', 'Micke Doomanfanger (', 'Rob DevilPig (bass)', 'Aggressive Protector (guitar)', 'Carl Warslaughter (']","['Ted Bundy (guitar)', 'Sir Torment (', 'Fjant Sodomizer (bass)', 'Anti-Fred-Rik (bass)', 'Jocke Christcrusher (bass)']"
459,Bestial Warlust,Black_metal,,,,,,
460,Bethlehem,Black_metal,"Grevenbroich, Germany","['Black metal, black/doom, avant-garde metal, gothic metal']",['1991–present'],"['Red Stream Inc', 'Prophecy Productions']","['Yvonne ""Onielar"" Wilczynska', 'Ilya Karzov', 'Jürgen Bartsch', 'Florian ""Torturer"" Klein']",
461,Big Boss,Black_metal,,"['Black metal, progressive metal']",['1987-present'],,,
462,Black Flame,Black_metal,Italy,['Black metal'],['Since 1998'],['Sombre RecordsEerie Art RecordsWorship Him RecordsForces of Satan RecordsRegain RecordsBehemoth Productions'],"['Cardinale Italo Martire', 'm:A Fog', 'Tiorad', 'Gnosis']",['Serpentrax (1998-2011)']
463,Black Funeral,Black_metal,"Houston, Texas, United States","['Black metal, dark ambient']",['1993–present'],"['Dark Adversary Productions, Behemoth Productions']","['Akhtya Nachtotter ', ' Azgorh Drakenhof']","['Warlord Asmoderic ', ' Ravennacht ', ' J/ Deimos Kahn Demiurge ', ' Abberoth ', ' Blackangel ', ' Nocturnal ', ' Marchozelos ', "" Sheikh Abd'ajjal""]"
