,Band,Original genre,Origin,Genres,Years active,Labels,Members,Past members
464,Black Messiah,Black_metal,"Gelsenkirchen, Germany",['Viking metalSymphonic black metal'],['1992—present'],['Last Episode ProductionsEinheit ProduktionenAFM Records'],"['Zagan', 'Zoran', 'Meldric', 'Agnar', 'Garm', ""Mike 'Brööh' Bröker""]",
465,Black Murder,Black_metal,France,"['Black metal', 'experimental', 'dark ambient', 'noise', 'soundscapes']","['1993–1997, 2015–present']",['DrakkarEnd All LifeFull Moon'],,"['Lord Aäkon Këëtrëh', ""Lord Beleth'Rim"", 'Vordb Bathor Ecsed', 'Vorlok Drakksteim', 'Wlad Drakksteim', 'Dark Wizzard of Silence', 'Krissagrazabeth', ""Lord Meyhna'ch"", 'Lord Ogvdreb', 'Lord Urvdrem', 'Mørdrëd  /  Belinda']"
466,Black Witchery,Black_metal,"Winter Springs, Florida, United States","['Extreme metal, black metal']",,['Full Moon ProductionsNuclear War Now! ProductionsDark Horizon RecordsOsmose Productions'],"['Impurath', 'Vaz', ""Alal'Xhaasztur"", '']","['Steve ""Travenda"" Childers', '']"
467,Blasphemy,Black_metal,"Vancouver, British Columbia, Canada","['Black metal, death metal, blackened death metal, war metal']","['1984–1993, 1999–present']","['Wild Rags, Osmose, Nuclear War Now!, Displeased']",['Members'],
468,Blood Tsunami,Black_metal,"Oslo, Norway",['Thrash metal'],['2004 – present'],['Indie Recordings'],"['Pete Evil', 'Dor Amazon', 'Faust', 'Calle (Carl Janfalk)']","['Riff Randall', 'Stu Manx', 'Jørgen ""Jay"" Nordlie']"
469,Bloodthorn,Black_metal,,,,,,
470,Blut Aus Nord,Black_metal,"Mondeville, Calvados, France","['Atmospheric black metal, avant-garde metal, industrial metal, ambient black metal']",['1994–present'],['Debemur Morti ProductionsAppease Me...Candlelight Records'],"['Vindsval ', ' W.D. Feld ', ' GhÖst']",
471,Borknagar,Black_metal,"Bergen, Norway","['Progressive metal, black metal, folk metal, Viking metal']",['1995–present'],['Century Media'],"['Øystein G. Brun', 'ICS Vortex', 'Lars A. Nedland', 'Bjørn Dugstad Rønnow', 'Jostein Thomassen']","['Vintersorg', ' ', 'Erik ""Grim"" Brødreskift', 'Kristoffer Rygg', 'Infernus', 'Kai Lie', 'Justin Greaves', 'Asgeir Mickelson', 'Tyr', 'David Kinkade', 'Jens F. Ryland', 'Baard Kolstad']"
472,Botanist,Black_metal,"San Francisco, United States","['Black metal', 'avant-garde metal', 'post-metal']",['2009-present'],"['The Flenser, Totalrust Music']",['Otrebor'],
473,Bulldozer,Black_metal,"Milan, Italy","['Speed metal, thrash metal, black metal (early)']","['1980–1990, 2008–present']",,"['A.C. Wild', 'Andy Panigada', 'Manu']","['Dario Carria', 'Erminio Galli', 'Rob K. Cabrini']"
474,Burzum,Black_metal,"Bergen, Norway","['Black metal', 'dark ambient', 'neo-Medieval music']",['1991–19992009–2018'],"['Deathlike Silence', 'Cymophane', 'Misanthropy', 'Byelobog']",,['Varg Vikernes']
475,Cadaveria,Black_metal,,"['Symphonic black metal, black-doom, gothic metal, industrial metal']",['1992–present'],"['Scarlet, Season of Mist, Bakerteam Records, Black Tears of Death Records']",,
476,Carach Angren,Black_metal,"Landgraaf, Limburg, Netherlands","['Symphonic black metal, black metal']",['2003–present'],"['Maddening Media', 'Season of Mist']","['Dennis ""Seregor"" Droomers', 'Clemens ""Ardek"" Wijers', 'Ivo ""Namtar"" Wijers']",
477,Carpathian Forest,Black_metal,"Sandnes, Rogaland, Kristiansand, Norway",['Black metal'],"['1992–2014, 2017-present']","['Avantgarde Music, Peaceville Records, Season of Mist']","['Nattefrost', 'Daniel Vrangsinn', 'Anders Kobro']","['Nordavind', 'Lord Blackmangler', 'Damnatus', 'Lazare', 'Tchort', 'Blood Pervertor']"
478,Carpe Tenebrum,Black_metal,"Oslo, Norway","['Black metal, symphonic black metal, blackened death metal']",['1997–?'],['Head Not FoundHammerheart'],,"['Nagash', 'Astennu']"
479,Catamenia,Black_metal,"Oulu, Finland",['Melodic black metal'],['1995–present'],['Massacre'],"['Riku Hopeakoski', ' Juha-Matti Perttunen', ' Mikko Hepo-oja', ' Toni Qvick', ' Sauli Jauhiainen', ' Jussi Sauvola']",['See: full listing']
480,Celestia,Black_metal,,,,,,
481,Celtic Frost,Black_metal,"Zürich, Switzerland",['Extreme metal'],"['1984–1987, 1988–1993, 2001–2008']","['Century Media, Noise, Metal Blade']",,"['Thomas Gabriel Fischer', 'Martin Eric Ain', 'Franco Sesa', 'Isaac Darso', 'Stephen Priestly', 'Reed St. Mark', 'Ron Marks', 'Dominic Steiner', 'Curt Victor Bryant', 'Oliver Amberg', 'Erol Unala']"
482,Ceremonial Castings,Black_metal,"Battle Ground, Washington, United States",['Symphonic black metal'],['1996 - Present'],['Dark Forest Productions'],"['Jake Superchi (Lord Serpent)', 'Nick Superchi (Old Nick)', 'Matthew Mattern (Bloodhammer)']",
483,Chakal,Black_metal,"Belo Horizonte, Brazil","['Black metal, thrash metal, death metal']",['1985–present'],['Cogumelo Records'],"[')', 'Cassio Corsino (', 'William Wiz (', 'André (', 'Mark (guitar)']","['Marcelo Laranja (bass), Destroyer (bass), Giulano Toniolo(bass), Drews (bass), Eduardo Simoes (guitar), Stanley (guitar), Pepeu Necromancer (guitar), Sgôto (vocals), Sergio (vocals)']"
484,Chthonic,Black_metal,Taiwan,"['Blackened death metal, melodic death metal symphonic black metal, folk metal, Oriental metal']",,['Spinefarm (Universal Music)'],"['Freddy Lim', 'Doris Yeh', 'Jesse Liu', 'Dani Wang', 'CJ Kao']",
485,Cirith Gorgor,Black_metal,Netherlands,['Black metal'],['1993–present'],,"['Marchosias', 'Waldtyr', 'Levithmong', 'Valefor', 'Satanael']","['Gothmog', 'Asmoday', 'Astaroth Daemonum', 'Nimroth', 'Inferno', 'Odium', 'Lord Mystic']"
486,Clandestine Blaze,Black_metal,"Lahti, Finland",['Black metal'],['1998–present'],['End All LifeNorthern Heritage'],['Mikko Aspa'],
487,Cobalt,Black_metal,"Greeley, Colorado, United States",['Black metal'],['2001–present'],['Profound Lore'],"['Erik Wunder', 'Charlie Fell']",['Phil McSorley']
488,Code,Black_metal,Surrey (England),"['Black metal, avant-garde metal, post-progressive (recently)']",['2002–present'],"['Spikefarm, Agonia Records']","['Aort', 'Andras', 'Lordt', 'Syhr', 'Wacian']","['AiwarikiaR', 'Vyttra', 'Adrian Erlandsson', 'Kvohst', 'Vicotnik', 'Alsvid']"
489,Cor Scorpii,Black_metal,"Sogndal, Norway",['Black metal'],['2004–present'],['DARK ESSENCE RECORDS'],"['Gaute Refsnes', 'Rune Sjøthun', 'Stian Bakketeig', 'Thomas S. Øvstedal', 'Inge Jonny Lomheim', 'Ole ""Vargon"" Nordsve']",
490,Countess,Black_metal,"Leiden, Netherlands",['Black metal'],['1992–present'],['Barbarian Wrath'],"['Orlok, Zagan, Mortüüm, Häxa']","['Warhead, Othalaz, Vercingetorix, Zénon, Imogem, Wolfram, Herjann']"
491,Cradle of Filth,Black_metal,"Suffolk, England, UK",['Extreme metal'],['1991\xa0(1991)–present'],['CacophonousMusic for NationsFierceMayhemMetal BladeAbracadaverSonyRoadrunnerPeacevilleNuclear Blast'],"['Dani Filth', ""Martin 'Marthus' Škaroupka"", 'Daniel Firth', 'Lindsay Schoolcraft', 'Richard Shaw', ""Marek 'Ashok' Šmerda"", '']","['See List of Cradle of Filth members', '']"
492,Craft,Black_metal,"Dalecarlia, Sweden",['Black metal'],['1994 – present'],['Carnal Records  Southern Lord RecordsNapalm RecordsSeason of Mist'],,
493,Crionics,Black_metal,"Kraków, Poland",['Blackened death metalMelodic black metal (early)'],['1997-2011'],"['Candlelight, Demonic, Empire Records, MSR Productions']","['Przemyslaw Olbryt', 'Dariusz Styczeń', 'Paweł Jaroszewicz', 'Wacław Borowiec', 'Rafał Brauer']",['(see below)']
494,Cruachan,Black_metal,"Dublin, Ireland","['Folk metal, Celtic metal, black metal']","['1992–1997, 1999–present']","[""TrollzornCandlelightAFMKarmageddon MediaHammerheartNazgul's Eyrie Productions""]","['Keith Fay ', ' John Ryan ', ' Kieran Ball ', ' Eric Fletcher ', ' Mauro Frison ', ' Rustam Shakirzyanov']",
495,Cultus Sanguine,Black_metal,"Milan, Lombardy Italy",['Black metal Doom metal Gothic metal'],['1993-2001'],['Wounded LoveCandlelightSeason Of Mist'],,
496,Daemonarch,Black_metal,,,,,,
497,Dance Club Massacre,Black_metal,"Chicago, Illinois, U.S.","['Deathcore, mathcore, symphonic black metal']",['2005–2010'],"['Black Market Activities, Metal Blade']",,"['Nick Seger', 'Jon Caruso', 'Chris Mrozek', 'Mitch Hein', 'Matt Hynek', 'Kurt Latos', 'James Poston', 'Depp']"
498,Dam,Black_metal,,,,,,
499,Dark Fortress,Black_metal,"Landshut, Germany",['Melodic black metal'],['1994–present'],['Century Media Records'],"['Morean', 'Asvargyr', 'V. Santura', 'Seraph', 'Phenex']","['Draug', 'Paymon', 'Azathoth', 'Njord', 'Zoltan', 'Charon', 'Crom', 'Thamuz']"
500,Dark Funeral,Black_metal,"Stockholm, Sweden",['Black metal'],['1993–present'],"['Necropolis', 'Regain', 'Metal Blade', 'Candlelight', 'Century Media']","['Lord Ahriman', 'Heljarmadr', 'Chaq Mol', 'Jalomaah', 'Adra- Melek', '']","['Blackmoon', 'Themgoroth', 'Draugen', 'Equimanthorn', 'Masse', 'Gaahnfaust', 'Alzazmon', 'Typhos', 'Dominion', 'Matte Modin', 'B-Force', 'Nachtgarm', 'Zornheym', 'Natt', 'Dominator', '']"
501,Darkspace,Black_metal,"Bern, Switzerland",['Ambient black metalAtmospheric black metal'],['1999–present'],"['Avantgarde Music, Haunter of the Dark']","['Wroth', 'Zorgh', 'Zhaaral']",
502,Darkthrone,Black_metal,"Kolbotn, Norway","['Black metal', 'blackened crust', ""black 'n' roll"", 'crust punk', 'heavy metal', 'death metal (early)']",['1986–present'],"['Peaceville', 'Moonfog']","['Fenriz', 'Nocturno Culto', '']","['Ivar Enger', 'Dag Nilsen', 'Anders Risberget', '']"
503,Darkwoods My Betrothed,Black_metal,"Kitee, Finland","['Black metal, symphonic black metal, Viking metal']","['1992–1998, 2000-2001']",['Spinefarm Records'],"['Spellgoth', 'Julma', 'Larha', 'Magician', 'Icelord']","['Hexenmeister', 'Erno Vuorinen', 'Ante Mortem', 'Hallgrim']"
504,Dawn,Black_metal,"Linköping, Sweden",['Melodic black-death'],['1990–present'],"['Necropolis, Century Media']","['Tomas Asklund', 'Henke Forss', 'Fredrik Söderberg', 'Philip Von Segebaden', '']","['Andreas Fullmestad', 'Dennis Karlsson', 'Karsten Larsson', 'Stefan Lundgren', 'Jocke Pettersson', 'Lars Tängmark', '']"
505,Dawn of Azazel,Black_metal,"Auckland, New Zealand","['Death metal, deathcore, technical death metal']","['1997–2010, 2013-present']",['Ibex Moon Records'],"['Rigel Walshe', 'Joe Bonnett', 'Jeremy Suckling', 'Nik Davies']","['Tony Angelov', 'Tony Corry', 'Tom James', 'Phill Osborne\nMartin Cavanagh']"
506,Darzamat,Black_metal,Poland,['Symphonic black metal'],['1995 - present'],"['Faithless Productions, Avantgarde Music, Metal Mind Productions, Massacre Records']","['Agnieszka ""Nera"" Górecka', 'Rafał ""Flauros"" Góral', 'Krzysztof ""Chris"" Michalak', 'Maciej ""Darkside"" Kowalski', 'Marek ""Markus"" Tkocz']",
507,Dawn of Relic,Black_metal,,,,,,
508,Deafheaven,Black_metal,"San Francisco, California, United States","['Black metal', 'blackgaze', 'post-metal', 'screamo']",['2010\xa0(2010)–present'],"['Deathwish', 'ANTI-']","['George Clarke', 'Kerry McCoy', 'Daniel Tracy', 'Shiv Mehra', 'Chris Johnson', '']","['Nick Bassett', 'Trevor Deschryver', 'Stephen Clark', 'Derek Prine', '']"
509,Deathspell Omega,Black_metal,France,"['Black metal, avant-garde metal']",['1998–present'],['Norma Evangelium DiaboliNorthern HeritageEnd All LifeSeason of Mist'],,
510,Death SS,Black_metal,"Pesaro, Italy","['Heavy metal, doom metal, speed metal (early), industrial metal (later)']",['1977 - 19841988 - 20082012 - present'],['Minotauro RecordsDiscomagic RecordsContempo RecordsLucifer Rising RecordsLive Global'],['Members'],
511,December Wolves,Black_metal,"Wilmington, Massachusetts, United States",['Black metal'],['1993 - present'],"['Wicked World Records, Earache Records, Hammerheart']","['Brian Oblivion', 'Smails', 'Scott DeFusco']","['Joe Martignetti', 'Tim Donovan', 'Jeff Beckwith', 'Mike Beckwith', 'Brian Bergeron', 'JaBa']"
